<ID|readonly|noverify>,ENGLISH,FRENCH,ITALIAN,GERMAN,SPANISH,RUSSIAN,POLISH,CZECH,TURKISH,CHINESE,JAPANESE,PORTUGUESE,UKRAINIAN,SERBIAN,HUNGARIAN,KOREAN,BELARUSIAN,ROMANIAN,TCHINESE,HCHINESE,VIETNAMESE,COMMENTS,MAX_CHARS
structures/heavy_lasgun_carrier,Orbital lasgun,Canon laser orbital,Laser Orbitale,Orbital lasgun,Cañón láser orbital,Орбитальный лучемёт,Orbitalny blaster,Orbitální dělo,Orbital lasgun,轨\t道\t激\t光\t枪,軌道\tラスガン,Canhão laser orbital,Орбітальний лазган,Orbital lasgun,Orbitális lézerfegyver,레이저 궤도폭격,Арбітальны лазган,Orbital lasgun,軌\t道\t雷\t射\t炮,Orbital lasgun,Vệ tinh laser ,,
germ_t_34_747,▀T 34 747 (r),▀T 34 747 (r),▀T-34-747 (r),▀T-34 747(r),▀T-34 747(r),▀T 34 747 (r),▀T-34 747(r),▀ PzKpfw T-34 747(r),▀T-34-747 (r),▀\tT 34 747 (r),▀T 34 747 (r),▀T 34 747 (r),▀T 34 747 (r),▀T 34 747 (r),▀T 34 747 (r),▀T-34-747(r),▀T-34-747(r),▀T-34-747(r),▀\tT 34 747 (r),T-34-747(r),▀T 34 747 (r),,
germ_pzkpfw_VI_tiger_P,VK 45.01 (P),VK 45.01 (P),VK 45.01 (P),VK4501 (P),VK 45.01 (P),VK 45.01 (P),VK 45.01 (P),PzKpfw VI Tiger (P),VK 45.01 (P),VK 45.01 (P),ポルシェティーガー,VK 4501 P,VK 45.01 (P),VK 45.01 (P),VK 45.01 (P),VK 45.01 (P),VK 4501 P,VK 45.01 (P),VK 45.01 (P),PK 6 号 P 型,VK 45.01 (P),,
germ_pzkpfw_VI_ausf_e_tiger,Tiger E,Tiger E,Tiger E,Tiger E,Tiger E,Tiger E,Tiger E,PzKpfw VI Ausf. E Tiger,Tiger E,虎\t式\t坦\t克 E 型,ティーガー E\t型,Tiger E,Tiger E,Tigar E,Tiger E,티거 E형,Tiger E,Tiger E,虎\t式\t坦\t克 E 型,PK 6 号 E 型,Tiger E,,
germ_pzkpfw_VI_ausf_h1_tiger_east,Tiger Ost,Tiger Ost,Tiger Ost,Tiger Ost,Tiger Ost,Tiger Ost,Tiger Ost,Tiger Ost,Tiger Ost,东\t线\t虎,ティーガーオスト,Tiger Ost,Tiger Ost,Tiger Ost,Tiger Ost,티거 오스트,Tiger Ost,Tiger Ost,東\t線\t虎,Tiger Ost,Tiger Ost,,
germ_pzkpfw_VI_ausf_h1_tiger_west,Tiger West,Tiger West,Tiger West,Tiger West,Tigre Oeste,Tiger West,Tiger West,Tiger West,Tiger West,西\t线\t虎,ティーガーヴェスト,Tiger West,Tiger West,Tiger West,Tiger West,티거 베스트,Tiger West,Tiger West,西\t線\t虎,Tiger West,Tiger West,,
germ_pzkpfw_VI_ausf_h1_tiger,Tiger H1,Tiger H1,Tiger H1,Tiger H1,Tiger H1,Tiger H1,Tiger H1,PzKpfw VI Ausf. H1 Tiger,Tiger H1,虎\t式\t坦\t克 H1 型,ティーガー H1型,Tiger H1,Tiger H1,Tigar H1,Tiger H1,티거 H1형,Tiger H1,Tiger H1,虎\t式\t坦\t克 H1 型,PK 6 号 H1 型,Tiger H1,,
germ_pzkpfw_VI_ausf_h1_tiger_tutorial,Tiger H1,Tiger H1,Tiger H1,Tiger H1,Tiger H1,Tiger H1,Tiger H1,PzKpfw VI Ausf. H1 Tiger,Tiger H1,虎\t式\t坦\t克 H1 型,ティーガー H1型,Tiger H1,Tiger H1,Tigar H1,Tiger H1,티거 H1형,Tiger H1,Tiger H1,虎\t式\t坦\t克 H1 型,PK 6 号 H1 型,Tiger H1,,
ussr_t_34E,T-34E,T-34E,T-34E,T-34E,T-34E,Т-34Э,T-34E,T-34E,T-34E,T-34E,T-34E,T-34E,Т-34Е,T-34E,T-34E,T-34E,Т-34Э,T-34E,T-34E,T-34E,T-34E,,
ussr_t_34_1941_cast_turret,T-34 (1st Gv.T.Br.),T-34 (1st Gv.T.Br.),T-34 (1^ Br.G.C.),T-34 (1. Gv.T.Br.),T-34 (1st Gv.T.Br.),Т-34 (1 Гв.Т.Бр.),T-34 (1 Br. P. Gw.),T-34-76 obr. 1941 [1. GTB],T-34 (1st Gv.T.Br.),T-34 (近\t卫\t坦\t克\t第 1 旅),T-34（第\t1親衛戦車旅団）,T-34 (1ª Gv.T.Br.),Т-34 (1 Гв.Т.Бр.),T-34 (1st Gv.T.Br.),T-34 (1. gárda),T-34 (제1근위전차여단),Т-34 (1-ая Гв.Т.Бр.),T-34 (Br.T.Gd. 1),T-34 1941 型\t（近\t衛\t坦\t克\t第 1 旅）,T-34 1941 型\t（近\t卫\t坦\t克\t第 1 旅）,T-34 (1st Gv.T.Br.),,
